message,level,source,method,time
Sun Feb 15 16:06:48 UTC 2015 coinbase btc 246.56 USD 0.00407408 0.00403758 { feed : coinbase - price : 246.56}  { feed : bitcoinaverage - price : 245.74}  { feed : blockchain - price : 244.49}  { feed : btce - price : 243.49}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_06_48
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_07_49
 Sell Price 0.00406896
Buy Price  0.00403251,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_07_49
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_07_49
Sun Feb 15 16:07:49 UTC 2015 coinbase btc 246.87 USD 0.00406896 0.00403251 { feed : coinbase - price : 246.87}  { feed : bitcoinaverage - price : 245.82}  { feed : blockchain - price : 244.49}  { feed : btce - price : 243.35}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_07_49
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_08_14
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_09_54
 Sell Price 0.00407722
Buy Price  0.00404069,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_09_54
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_09_54
Sun Feb 15 16:09:54 UTC 2015 coinbase btc 246.37 USD 0.00407722 0.00404069 { feed : coinbase - price : 246.37}  { feed : bitcoinaverage - price : 245.63}  { feed : blockchain - price : 246.5}  { feed : btce - price : 243.0}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_09_54
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_10_53
 Sell Price 0.00408335
Buy Price  0.00404677,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_10_53
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_10_53
Sun Feb 15 16:10:53 UTC 2015 coinbase btc 246.0 USD 0.00408335 0.00404677 { feed : coinbase - price : 246.0}  { feed : bitcoinaverage - price : 245.58}  { feed : blockchain - price : 246.5}  { feed : btce - price : 242.78}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_10_53
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_11_15
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_11_54
 Sell Price 0.00409768
Buy Price  0.00406097,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_11_54
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_11_54
Sun Feb 15 16:11:54 UTC 2015 coinbase btc 245.14 USD 0.00409768 0.00406097 { feed : coinbase - price : 245.14}  { feed : bitcoinaverage - price : 245.46}  { feed : blockchain - price : 246.5}  { feed : btce - price : 242.0}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_11_54
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_12_54
 Sell Price 0.00408967
Buy Price  0.00405303,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_12_54
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_12_54
Sun Feb 15 16:12:54 UTC 2015 coinbase btc 245.62 USD 0.00408967 0.00405303 { feed : coinbase - price : 245.62}  { feed : bitcoinaverage - price : 244.7}  { feed : blockchain - price : 246.5}  { feed : btce - price : 242.0}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_12_54
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_14_17
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_15_56
 Sell Price 0.00410036
Buy Price  0.00406362,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_15_56
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_15_56
Sun Feb 15 16:15:56 UTC 2015 coinbase btc 244.98 USD 0.00410036 0.00406362 { feed : coinbase - price : 244.98}  { feed : bitcoinaverage - price : 244.2}  { feed : blockchain - price : 243.86}  { feed : btce - price : 241.68}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_15_56
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_16_59
 Sell Price 0.00410891
Buy Price  0.00407209,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_16_59
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_16_59
Sun Feb 15 16:16:59 UTC 2015 coinbase btc 244.47 USD 0.00410891 0.00407209 { feed : coinbase - price : 244.47}  { feed : bitcoinaverage - price : 244.06}  { feed : blockchain - price : 243.86}  { feed : btce - price : 241.6}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_16_59
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_17_17
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_20_00
 Sell Price 0.00411564
Buy Price  0.00407877,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_20_00
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_20_00
Sun Feb 15 16:20:00 UTC 2015 coinbase btc 244.07 USD 0.00411564 0.00407877 { feed : coinbase - price : 244.07}  { feed : bitcoinaverage - price : 243.87}  { feed : blockchain - price : 243.86}  { feed : btce - price : 240.303}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_20_00
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_20_18
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_21_03
 Sell Price 0.00410387
Buy Price  0.0040671,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_21_03
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_21_03
Sun Feb 15 16:21:03 UTC 2015 coinbase btc 244.77 USD 0.00410387 0.0040671 { feed : coinbase - price : 244.77}  { feed : bitcoinaverage - price : 244.24}  { feed : blockchain - price : 243.5}  { feed : btce - price : 241.5}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_21_03
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_23_03
 Sell Price 0.00411025
Buy Price  0.00407343,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_23_03
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_23_03
Sun Feb 15 16:23:03 UTC 2015 coinbase btc 244.39 USD 0.00411025 0.00407343 { feed : coinbase - price : 244.39}  { feed : bitcoinaverage - price : 244.9}  { feed : blockchain - price : 243.5}  { feed : btce - price : 240.335}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_23_03
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_23_19
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_26_20
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_27_08
 Sell Price 0.00410253
Buy Price  0.00406577,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_27_08
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_27_08
Sun Feb 15 16:27:08 UTC 2015 coinbase btc 244.85 USD 0.00410253 0.00406577 { feed : coinbase - price : 244.85}  { feed : bitcoinaverage - price : 244.28}  { feed : blockchain - price : 244.5}  { feed : btce - price : 240.902}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_27_08
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_28_08
 Sell Price 0.00411059
Buy Price  0.00407376,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_28_08
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_28_08
Sun Feb 15 16:28:08 UTC 2015 coinbase btc 244.37 USD 0.00411059 0.00407376 { feed : coinbase - price : 244.37}  { feed : bitcoinaverage - price : 244.61}  { feed : blockchain - price : 244.5}  { feed : btce - price : 240.907}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_28_08
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_29_21
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_30_10
 Sell Price 0.00410136
Buy Price  0.00406461,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_30_10
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_30_10
Sun Feb 15 16:30:10 UTC 2015 coinbase btc 244.92 USD 0.00410136 0.00406461 { feed : coinbase - price : 244.92}  { feed : bitcoinaverage - price : 244.5}  { feed : blockchain - price : 244.5}  { feed : btce - price : 240.955}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_30_10
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_31_12
 Sell Price 0.00410891
Buy Price  0.00407209,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_31_12
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_31_12
Sun Feb 15 16:31:12 UTC 2015 coinbase btc 244.47 USD 0.00410891 0.00407209 { feed : coinbase - price : 244.47}  { feed : bitcoinaverage - price : 244.54}  { feed : blockchain - price : 244.5}  { feed : btce - price : 241.4}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_31_12
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_32_23
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_33_13
 Sell Price 0.00412443
Buy Price  0.00408748,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_33_13
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_33_13
Sun Feb 15 16:33:13 UTC 2015 coinbase btc 243.55 USD 0.00412443 0.00408748 { feed : coinbase - price : 243.55}  { feed : bitcoinaverage - price : 244.53}  { feed : blockchain - price : 240.0}  { feed : btce - price : 240.207}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_33_13
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_34_15
 Sell Price 0.00414725
Buy Price  0.00411009,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_34_15
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_34_15
Sun Feb 15 16:34:15 UTC 2015 coinbase btc 242.21 USD 0.00414725 0.00411009 { feed : coinbase - price : 242.21}  { feed : bitcoinaverage - price : 244.26}  { feed : blockchain - price : 240.0}  { feed : btce - price : 240.907}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_34_15
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_35_23
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_36_16
 Sell Price 0.00417917
Buy Price  0.00414172,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_36_16
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_36_16
Sun Feb 15 16:36:16 UTC 2015 coinbase btc 240.36 USD 0.00417917 0.00414172 { feed : coinbase - price : 240.36}  { feed : bitcoinaverage - price : 243.13}  { feed : blockchain - price : 244.47}  { feed : btce - price : 240.0}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_36_16
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_38_24
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_41_22
 Sell Price 0.00415996
Buy Price  0.00412269,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_41_22
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_41_22
Sun Feb 15 16:41:22 UTC 2015 coinbase btc 241.47 USD 0.00415996 0.00412269 { feed : coinbase - price : 241.47}  { feed : bitcoinaverage - price : 242.05}  { feed : blockchain - price : 240.0}  { feed : btce - price : 239.878}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_41_22
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_41_25
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_43_23
 Sell Price 0.00414468
Buy Price  0.00410755,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_43_23
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_43_23
Sun Feb 15 16:43:23 UTC 2015 coinbase btc 242.36 USD 0.00414468 0.00410755 { feed : coinbase - price : 242.36}  { feed : bitcoinaverage - price : 242.56}  { feed : blockchain - price : 240.0}  { feed : btce - price : 239.969}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_43_23
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_44_25
 Sell Price 0.00415256
Buy Price  0.00411536,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_44_25
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_44_25
Sun Feb 15 16:44:25 UTC 2015 coinbase btc 241.9 USD 0.00415256 0.00411536 { feed : coinbase - price : 241.9}  { feed : bitcoinaverage - price : 242.48}  { feed : blockchain - price : 240.0}  { feed : btce - price : 239.994}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_44_25
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_44_27
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_45_27
 Sell Price 0.00414656
Buy Price  0.00410941,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_45_27
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_45_27
Sun Feb 15 16:45:27 UTC 2015 coinbase btc 242.25 USD 0.00414656 0.00410941 { feed : coinbase - price : 242.25}  { feed : bitcoinaverage - price : 242.84}  { feed : blockchain - price : 242.0}  { feed : btce - price : 240.21}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_45_27
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_47_27
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_50_29
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_50_31
 Sell Price 0.00415222
Buy Price  0.00411502,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_50_31
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_50_31
Sun Feb 15 16:50:31 UTC 2015 coinbase btc 241.92 USD 0.00415222 0.00411502 { feed : coinbase - price : 241.92}  { feed : bitcoinaverage - price : 242.61}  { feed : blockchain - price : 241.81}  { feed : btce - price : 239.208}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_50_31
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_51_32
 Sell Price 0.00416099
Buy Price  0.00412371,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_51_32
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_51_32
Sun Feb 15 16:51:32 UTC 2015 coinbase btc 241.41 USD 0.00416099 0.00412371 { feed : coinbase - price : 241.41}  { feed : bitcoinaverage - price : 242.55}  { feed : blockchain - price : 241.81}  { feed : btce - price : 239.112}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_51_32
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_53_29
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_53_33
 Sell Price 0.00416807
Buy Price  0.00413073,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_53_33
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_53_33
Sun Feb 15 16:53:33 UTC 2015 coinbase btc 241.0 USD 0.00416807 0.00413073 { feed : coinbase - price : 241.0}  { feed : bitcoinaverage - price : 242.38}  { feed : blockchain - price : 241.81}  { feed : btce - price : 239.259}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_53_33
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_54_35
 Sell Price 0.00416185
Buy Price  0.00412456,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_54_35
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_54_35
Sun Feb 15 16:54:35 UTC 2015 coinbase btc 241.36 USD 0.00416185 0.00412456 { feed : coinbase - price : 241.36}  { feed : bitcoinaverage - price : 242.14}  { feed : blockchain - price : 241.81}  { feed : btce - price : 238.7}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_54_35
sending Liquidity Info :
3341.1582215199996
13511.96357763
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_56_31
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_58_38
 Sell Price 0.00416772
Buy Price  0.00413038,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_58_38
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_58_38
Sun Feb 15 16:58:38 UTC 2015 coinbase btc 241.02 USD 0.00416772 0.00413038 { feed : coinbase - price : 241.02}  { feed : bitcoinaverage - price : 242.0}  { feed : blockchain - price : 241.0}  { feed : btce - price : 238.21}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_58_38
sending Liquidity Info :
3341.1582215199996
13408.44197144
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_16_59_31
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_16_59_39
 Sell Price 0.00416168
Buy Price  0.00412439,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_59_39
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_16_59_39
Sun Feb 15 16:59:39 UTC 2015 coinbase btc 241.37 USD 0.00416168 0.00412439 { feed : coinbase - price : 241.37}  { feed : bitcoinaverage - price : 241.94}  { feed : blockchain - price : 241.0}  { feed : btce - price : 238.4}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_16_59_39
sending Liquidity Info :
3341.1582215199996
13408.44197144
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_17_02_35
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_17_03_44
 Sell Price 0.00414383
Buy Price  0.0041067,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_17_03_44
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_17_03_44
Sun Feb 15 17:03:44 UTC 2015 coinbase btc 242.41 USD 0.00414383 0.0041067 { feed : coinbase - price : 242.41}  { feed : bitcoinaverage - price : 242.46}  { feed : blockchain - price : 242.13}  { feed : btce - price : 238.5}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_17_03_44
sending Liquidity Info :
3341.1582215199996
13408.44197144
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_17_05_33
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_17_05_46
 Sell Price 0.00412731
Buy Price  0.00409033,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_17_05_46
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_17_05_46
Sun Feb 15 17:05:46 UTC 2015 coinbase btc 243.38 USD 0.00412731 0.00409033 { feed : coinbase - price : 243.38}  { feed : bitcoinaverage - price : 243.1}  { feed : blockchain - price : 242.13}  { feed : btce - price : 239.9}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_17_05_46
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_17_07_47
 Sell Price 0.00411632
Buy Price  0.00407944,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_17_07_47
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_17_07_47
Sun Feb 15 17:07:47 UTC 2015 coinbase btc 244.03 USD 0.00411632 0.00407944 { feed : coinbase - price : 244.03}  { feed : bitcoinaverage - price : 244.12}  { feed : blockchain - price : 242.13}  { feed : btce - price : 240.5}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_17_07_47
sending Liquidity Info :
3341.1582215199996
13408.44197144
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_17_08_34
sending Liquidity Info :
3341.1582215199996
13408.44197144
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_15_17_11_35
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_17_12_53
 Sell Price 0.00412291
Buy Price  0.00408597,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_17_12_53
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_15_17_12_53
Sun Feb 15 17:12:53 UTC 2015 coinbase btc 243.64 USD 0.00412291 0.00408597 { feed : coinbase - price : 243.64}  { feed : bitcoinaverage - price : 244.58}  { feed : blockchain - price : 244.8}  { feed : btce - price : 239.746}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_15_17_12_53
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_15_17_13_53
 Sell Price 0.00413156
